age,income,loan_amount,loan_term,interest_rate,credit_score,employment_years,num_prev_loans,missed_payments,debt_to_income,loan_purpose,default
34,57103,3706,48,21.26,829,8,5,4,0.0649,education,0
59,60704,3982,24,10.82,540,28,4,4,0.0656,education,1
47,89216,18074,24,6.79,433,26,0,0,0.2026,home_improvement,0
29,39952,1427,12,8.2,690,7,6,0,0.0357,medical,0
35,53148,10082,36,13.51,401,18,5,1,0.1897,medical,0
35,69368,5705,24,18.48,797,17,5,1,0.0822,education,0
46,51474,9585,48,7.55,810,14,6,2,0.1862,medical,0
62,44737,13107,60,16.22,836,3,0,3,0.293,home_improvement,0
33,66132,17907,12,10.5,844,14,3,1,0.2708,personal,0
52,79044,19305,48,10.8,642,12,2,1,0.2442,education,0
59,52464,6486,24,16.25,305,27,4,1,0.1236,business,0
52,51965,9204,36,12.94,493,17,7,1,0.1771,education,0
24,43341,36315,12,18.8,436,19,6,4,0.8379,education,1
50,49672,10499,24,7.65,772,4,6,2,0.2114,personal,0
57,74504,6706,12,18.43,515,17,5,1,0.09,business,1
43,56459,7705,24,6.09,648,27,1,3,0.1365,business,0
59,40510,10535,60,8.3,482,7,5,1,0.2601,business,1
35,59722,9643,36,16.15,467,0,7,4,0.1615,personal,1
63,73921,10593,60,19.53,337,18,2,0,0.1433,medical,1
49,44886,11871,24,9.3,770,22,5,0,0.2645,business,0
56,31085,11829,48,10.56,751,25,1,2,0.3805,medical,0
33,94434,6267,60,14.13,789,16,6,0,0.0664,home_improvement,0
52,30186,14215,48,8.6,441,28,3,1,0.4709,personal,1
27,48537,12726,24,18.79,402,26,5,4,0.2622,medical,1
42,59178,14979,36,18.15,341,1,4,2,0.2531,business,1
48,50096,1713,48,7.47,446,18,3,1,0.0342,business,1
22,53651,12941,24,12.89,365,29,1,0,0.2412,medical,1
62,65383,1000,48,18.17,492,15,0,3,0.0153,medical,1
26,15000,10946,60,10.73,597,29,5,1,0.7297,home_improvement,0
48,32195,15947,24,15.76,337,17,7,3,0.4953,personal,1
48,55796,18274,60,5.85,801,1,6,3,0.3275,education,0
64,47724,14006,12,15.35,727,27,6,2,0.2935,home_improvement,0
64,57329,16052,24,7.6,651,26,3,4,0.28,home_improvement,0
40,59097,10205,48,19.12,625,5,5,0,0.1727,home_improvement,0
50,16913,8944,12,11.04,337,6,7,0,0.5288,business,1
31,77925,28156,60,9.79,396,5,4,1,0.3613,medical,0
48,46031,16962,60,19.3,407,26,5,0,0.3685,personal,1
45,39420,4962,48,5.85,450,5,3,2,0.1259,business,1
59,58750,1592,12,11.74,373,8,2,0,0.0271,home_improvement,0
53,56928,9209,36,11.29,356,7,3,1,0.1618,personal,1
21,76540,19151,48,9.84,634,29,1,0,0.2502,business,0
47,59893,12292,60,20.5,551,23,3,4,0.2052,education,1
33,75845,1000,24,17.77,553,21,6,3,0.0132,home_improvement,1
61,38112,10936,12,6.09,684,20,4,3,0.2869,business,0
23,57553,11985,36,17.15,755,8,3,3,0.2082,business,0
59,34934,1000,24,13.96,558,11,3,4,0.0286,home_improvement,1
26,56758,12144,12,20.31,764,17,4,2,0.214,education,0
28,52942,5919,48,10.32,333,22,3,1,0.1118,medical,1
47,52168,1000,48,14.76,794,5,6,4,0.0192,education,0
29,52326,21627,12,13.51,625,22,4,1,0.4133,home_improvement,0
57,68255,5654,36,13.32,537,27,6,2,0.0828,medical,1
53,26067,7996,12,12.75,840,3,6,4,0.3067,business,0
62,38803,7916,24,8.5,765,24,6,0,0.204,education,0
64,54269,12013,24,17.85,603,6,1,2,0.2214,education,0
44,33784,22597,48,12.67,416,17,4,3,0.6689,medical,1
35,55830,4822,12,21.29,506,28,1,4,0.0864,business,1
52,54084,10159,48,9.43,780,19,1,2,0.1878,education,0
52,29732,12725,36,16.61,702,4,7,2,0.428,medical,0
44,28843,6787,24,20.99,532,17,4,4,0.2353,education,1
61,15000,10062,60,16.28,583,9,3,3,0.6708,business,0
32,33027,15566,60,19.81,779,7,5,3,0.4713,business,1
59,55257,7465,12,19.07,308,0,7,2,0.1351,personal,1
22,57811,9968,12,11.12,678,14,2,1,0.1724,medical,0
23,58634,9411,60,15.2,680,2,5,2,0.1605,home_improvement,0
57,40997,11377,12,7.66,659,14,6,4,0.2775,education,0
37,54670,13458,24,14.1,475,13,4,4,0.2462,business,1
22,62150,15519,36,8.92,784,0,3,4,0.2497,education,0
22,32175,23625,36,17.64,704,20,1,3,0.7343,education,0
48,57219,1000,48,13.98,332,7,0,0,0.0175,home_improvement,0
43,66816,10995,24,11.99,764,6,2,4,0.1646,business,0
57,46166,3813,12,9.57,456,8,7,4,0.0826,personal,1
52,74120,9687,12,21.98,501,17,7,1,0.1307,medical,1
53,46586,17285,48,6.22,474,11,5,1,0.371,education,1
21,39518,19186,48,5.74,543,7,7,2,0.4855,home_improvement,1
39,65023,19468,12,8.69,568,7,3,2,0.2994,home_improvement,1
22,91599,19411,12,21.51,745,29,6,2,0.2119,medical,0
64,56536,10956,24,21.65,373,5,2,4,0.1938,medical,1
46,66428,20391,48,16.13,395,2,6,1,0.307,business,0
52,45843,21581,24,19.96,472,1,0,2,0.4708,education,1
26,32650,12832,12,8.64,705,13,0,1,0.393,education,0
52,57992,19063,60,21.52,454,7,7,4,0.3287,medical,1
24,60839,12247,60,7.43,482,5,0,4,0.2013,personal,1
31,48557,20461,12,6.72,622,3,5,2,0.4214,education,0
37,66359,11030,48,6.91,588,4,6,4,0.1662,home_improvement,0
58,43226,8342,60,14.74,557,20,4,4,0.193,medical,1
44,38762,5280,48,18.28,473,12,7,1,0.1362,education,1
25,74091,10958,60,11.23,629,8,2,0,0.1479,business,0
54,74176,12506,48,21.62,530,12,4,3,0.1686,medical,1
26,43581,6324,60,12.39,460,28,6,2,0.1451,home_improvement,1
42,85939,10499,48,7.56,485,8,0,0,0.1222,business,0
31,49832,8840,24,12.92,442,23,3,2,0.1774,medical,1
36,56526,5538,48,16.54,581,23,0,0,0.098,medical,0
53,53476,18215,24,19.15,326,15,4,4,0.3406,education,1
29,64427,19271,24,12.8,545,11,0,2,0.2991,business,1
26,59885,18188,12,15.09,786,1,6,0,0.3037,medical,0
36,59643,11495,24,9.54,501,29,0,3,0.1927,home_improvement,1
49,36647,11865,36,15.98,320,18,4,4,0.3238,business,1
23,24605,5620,24,21.76,393,29,4,2,0.2284,education,1
40,75558,14487,48,5.83,307,15,6,2,0.1917,personal,1
56,45181,13017,24,20.07,771,23,7,0,0.2881,medical,0
39,54117,29063,48,14.56,638,12,7,2,0.537,personal,1
46,60882,18522,48,9.29,558,4,3,4,0.3042,medical,1
23,84322,13891,36,21.23,354,22,4,1,0.1647,education,1
39,57904,11750,24,13.22,847,29,6,0,0.2029,education,0
40,47893,18007,24,10.64,305,23,7,3,0.376,education,1
52,45576,6505,60,8.09,676,5,7,2,0.1427,education,0
27,54327,18837,60,9.16,349,20,3,4,0.3467,business,1
61,38631,5477,12,19.16,411,23,1,2,0.1418,business,1
53,55519,8630,48,15.44,445,16,6,3,0.1554,medical,1
60,54063,1000,36,20.53,529,16,1,4,0.0185,business,1
59,84547,15684,60,8.94,796,16,4,3,0.1855,medical,0
38,53495,13499,24,7.06,605,2,7,4,0.2523,business,0
60,20359,8631,12,5.1,841,25,0,1,0.4239,business,0
21,103123,6425,36,13.63,760,12,2,4,0.0623,business,0
31,72223,20272,24,21.97,525,11,0,3,0.2807,home_improvement,1
48,92482,11198,24,16.81,358,5,4,0,0.1211,education,0
45,34168,7396,48,10.24,375,21,3,1,0.2165,home_improvement,0
43,51007,23531,48,19.91,727,20,6,2,0.4613,business,1
51,67139,8057,60,18.29,431,28,0,1,0.12,business,1
50,64655,18831,60,5.26,797,12,1,1,0.2913,home_improvement,0
62,60524,5094,24,18.89,604,13,7,2,0.0842,medical,0
55,15407,9870,24,10.11,366,6,5,4,0.6406,education,1
27,24176,15013,60,7.54,529,4,7,1,0.621,medical,1
36,82315,11652,60,8.85,632,13,4,1,0.1416,education,0
46,85515,13462,24,12.97,576,17,7,0,0.1574,personal,0
22,53080,8766,36,12.22,443,3,0,0,0.1651,education,1
21,80027,2413,24,9.91,550,0,5,3,0.0302,medical,1
32,36581,20793,36,7.93,379,6,0,2,0.5684,education,1
25,40700,9133,36,17.96,356,19,3,4,0.2244,personal,1
57,35158,13734,24,21.83,665,12,3,4,0.3906,personal,0
52,39701,16211,12,18.22,607,3,3,3,0.4083,business,1
29,68008,13852,60,10.03,473,12,5,4,0.2037,personal,1
61,39477,7748,48,9.16,761,3,2,4,0.1963,home_improvement,0
55,95315,18958,24,8.7,792,2,5,0,0.1989,medical,0
39,63281,15082,36,7.32,673,7,4,4,0.2383,home_improvement,0
36,74521,13192,24,14.37,648,19,4,4,0.177,home_improvement,0
23,63818,13053,60,15.29,366,7,1,3,0.2045,medical,1
40,76856,22093,36,16.99,629,24,1,3,0.2875,home_improvement,0
44,39376,7619,48,16.56,493,16,4,1,0.1935,home_improvement,0
53,81044,14491,48,9.97,454,14,0,4,0.1788,home_improvement,1
44,57536,8828,48,10.62,459,3,4,4,0.1534,personal,1
31,76766,1000,12,16.59,565,5,6,4,0.013,medical,1
28,29087,1000,36,10.94,467,23,2,0,0.0344,medical,1
56,58250,5912,36,8.61,444,29,1,4,0.1015,medical,1
58,57614,8049,12,11.36,485,21,1,0,0.1397,home_improvement,0
60,43853,25037,36,9.63,722,27,6,1,0.5709,personal,0
40,60636,16190,12,6.5,756,5,7,2,0.267,medical,0
55,82712,16730,24,19.11,644,9,6,4,0.2023,education,0
45,42469,8177,60,19.5,815,3,5,3,0.1925,medical,0
55,72313,12367,48,8.74,403,8,6,3,0.171,business,1
45,34706,25836,12,6.1,546,15,7,4,0.7444,education,1
49,92970,4713,12,17.56,322,6,1,0,0.0507,medical,0
38,69122,14737,12,8.6,824,13,4,3,0.2132,home_improvement,0
38,86052,21667,24,11.69,443,26,1,3,0.2518,medical,1
22,67097,17795,12,6.09,492,5,6,1,0.2652,personal,1
55,62031,22809,60,8.85,764,0,6,1,0.3677,personal,0
36,69272,13277,60,18.48,674,17,7,1,0.1917,medical,0
61,52543,15620,48,18.67,565,11,6,3,0.2973,home_improvement,1
56,25878,12658,24,8.52,677,21,7,3,0.4891,home_improvement,0
53,63053,15200,60,10.71,849,26,1,4,0.2411,home_improvement,0
24,41400,6508,36,7.28,373,14,6,4,0.1572,medical,1
53,35170,16754,36,6.26,737,0,5,0,0.4764,medical,0
34,66453,13765,36,21.87,525,14,4,3,0.2071,business,1
41,49976,12375,12,16.15,607,14,0,4,0.2476,personal,0
40,73498,22478,12,14.22,647,26,7,4,0.3058,education,0
28,40799,10407,36,18.01,775,15,6,1,0.2551,education,0
27,46525,19246,48,19.28,614,20,1,1,0.4137,personal,0
23,75705,19843,48,18.71,824,0,1,1,0.2621,business,0
37,60037,17133,12,5.28,724,28,6,2,0.2854,personal,0
53,28408,6209,36,8.18,823,2,1,4,0.2186,business,0
32,59639,14154,48,16.13,548,11,6,1,0.2373,business,0
42,81662,23750,12,11.39,481,27,2,1,0.2908,home_improvement,1
42,46385,1088,36,21.7,405,27,4,3,0.0235,personal,1
50,65765,10874,24,16.31,490,6,6,1,0.1653,education,1
58,39711,18973,36,21.26,436,4,1,3,0.4778,medical,1
58,52537,11308,36,8.42,419,27,2,0,0.2152,medical,0
28,74617,16859,60,19.69,371,25,0,1,0.2259,personal,1
47,58946,20455,60,10.46,430,0,0,3,0.347,medical,1
47,78206,13392,24,21.82,756,0,7,1,0.1712,business,0
54,62655,15053,24,7.68,778,14,5,0,0.2403,medical,0
41,94937,12551,36,13.78,351,7,6,1,0.1322,business,1
50,26831,13786,48,18.48,418,10,5,3,0.5138,business,1
53,51090,24615,24,12.35,563,13,5,0,0.4818,education,1
48,35478,11616,36,12.96,538,28,2,0,0.3274,medical,1
53,36707,9881,12,21.77,650,24,0,0,0.2692,education,0
25,36870,18250,60,12.23,554,22,5,2,0.495,medical,1
39,58019,6942,48,15.27,608,12,3,3,0.1197,business,0
24,59073,8311,36,5.93,794,18,5,2,0.1407,medical,0
55,62694,8349,12,19.32,356,11,0,0,0.1332,education,1
37,34784,10464,60,16.02,702,21,7,2,0.3008,home_improvement,0
64,49163,10726,12,11.87,366,18,3,1,0.2182,education,0
48,37642,16194,36,5.27,345,25,7,2,0.4302,home_improvement,1
50,71845,9945,24,15.06,668,3,7,4,0.1384,personal,0
49,39335,16436,60,5.22,531,27,2,0,0.4178,education,1
26,51153,17185,12,5.02,701,3,6,0,0.336,medical,0
55,65085,8078,24,15.47,322,2,6,3,0.1241,home_improvement,1
61,43918,17056,48,8.21,566,25,3,1,0.3884,medical,0
57,67489,17600,36,8.26,417,5,0,3,0.2608,home_improvement,1
44,83729,1434,36,16.11,354,4,1,2,0.0171,education,1
49,58414,13760,60,5.91,452,10,3,4,0.2356,education,1
51,71228,8961,12,10.33,538,24,0,4,0.1258,medical,1
55,17678,19818,48,7.54,564,8,5,4,1.1211,education,1
53,47277,8900,60,14.86,567,2,7,4,0.1883,medical,1
41,58328,3963,60,16.25,412,28,1,1,0.0679,business,0
52,36046,11821,12,17.26,465,8,2,2,0.3279,home_improvement,1
43,58737,6618,48,9.34,307,28,6,4,0.1127,medical,1
53,74078,17097,12,6.52,516,11,2,0,0.2308,home_improvement,0
23,21167,7148,36,6.34,730,2,4,2,0.3377,business,0
38,33596,11894,24,12.24,591,19,2,1,0.354,home_improvement,0
45,58326,21274,36,21.08,349,16,4,4,0.3647,medical,1
62,63287,18591,36,8.7,406,20,2,1,0.2938,education,0
51,68285,14867,60,9.36,308,11,2,4,0.2177,home_improvement,1
23,56996,11234,36,6.72,755,24,2,0,0.1971,home_improvement,0
60,63307,14297,48,15.29,622,17,4,2,0.2258,business,0
44,71262,16133,36,16.56,608,3,5,0,0.2264,personal,0
52,47539,6080,48,15.93,444,9,4,4,0.1279,education,1
42,44045,17108,12,19.64,711,17,7,3,0.3884,medical,0
43,51966,5389,60,13.27,413,29,3,2,0.1037,business,1
22,58590,15434,48,7.29,698,7,0,1,0.2634,medical,0
47,43151,5358,36,9.92,574,8,0,4,0.1242,medical,1
62,47912,23776,60,16.26,423,18,5,0,0.4962,home_improvement,1
22,62158,16580,60,15.42,385,12,0,3,0.2667,business,1
46,57839,2663,48,14.03,346,24,2,4,0.046,business,1
37,51663,11994,48,16.61,500,5,5,1,0.2322,education,0
60,23660,8871,24,15.84,575,21,0,0,0.3749,personal,1
53,54936,8161,24,19.98,848,6,4,2,0.1486,medical,0
29,37539,12882,60,14.96,429,27,3,3,0.3432,education,1
63,72695,6432,24,18.24,747,20,1,4,0.0885,education,0
59,49443,16568,36,9.23,688,5,3,4,0.3351,medical,0
49,37067,16227,12,16.53,562,10,0,4,0.4378,home_improvement,1
62,53892,14108,60,20.34,577,16,5,4,0.2618,home_improvement,1
46,77872,11882,12,11.56,345,18,6,0,0.1526,medical,1
55,66354,15958,24,18.24,467,27,0,2,0.2405,business,1
45,58958,16748,48,17.32,744,24,4,1,0.2841,personal,0
44,31130,14729,60,6.01,345,11,3,3,0.4731,home_improvement,1
33,84188,4128,24,14.89,839,20,6,4,0.049,personal,0
27,43810,7269,36,7.21,386,20,4,4,0.1659,education,1
56,71808,10391,60,21.44,684,23,7,2,0.1447,education,0
40,49143,3145,60,18.79,564,26,7,2,0.064,medical,1
21,70075,13344,48,6.87,321,26,4,0,0.1904,medical,0
28,78523,20466,60,7.07,749,12,1,0,0.2606,medical,0
36,66666,19510,48,15.11,531,17,4,0,0.2927,home_improvement,0
34,68605,16437,24,10.86,485,28,6,3,0.2396,personal,1
32,53228,16366,36,5.59,625,6,4,0,0.3075,education,0
43,47188,25291,36,14.21,482,24,1,4,0.536,personal,1
35,57489,17063,60,11.59,696,22,7,0,0.2968,home_improvement,0
48,48881,17553,60,6.72,780,27,2,3,0.3591,personal,0
54,99409,3366,24,18.63,702,4,6,0,0.0339,personal,0
22,37137,19996,48,20.56,762,28,2,0,0.5384,medical,0
52,73037,14390,36,17.86,716,15,6,4,0.197,personal,0
43,64309,11521,48,18.98,501,21,5,4,0.1792,personal,1
42,59137,10034,24,8.68,364,3,1,4,0.1697,personal,1
45,81637,8708,36,9.48,316,29,5,0,0.1067,business,1
42,60370,19540,36,8.54,482,27,5,4,0.3237,education,1
42,43571,11829,12,18.01,690,22,7,2,0.2715,education,0
62,60251,8929,24,21.11,343,0,4,1,0.1482,personal,1
26,51702,7370,24,17.19,781,3,5,1,0.1425,medical,0
35,64059,13023,12,19.98,562,2,0,4,0.2033,medical,1
63,69635,9842,48,15.86,473,28,6,3,0.1413,medical,1
57,39536,8473,12,11.59,740,3,7,4,0.2143,education,0
53,76516,3707,24,12.24,519,0,3,4,0.0484,home_improvement,1
28,50411,17756,48,6.28,693,11,0,0,0.3522,personal,0
64,62985,11171,36,5.53,494,12,0,3,0.1774,education,1
64,66106,5488,12,16.82,708,1,4,4,0.083,medical,0
25,61612,10372,48,12.45,770,27,3,2,0.1683,education,0
59,53036,15294,48,14.39,646,26,5,1,0.2884,education,0
24,46205,12173,48,14.48,761,28,3,2,0.2635,education,0
26,50158,13145,12,9.72,360,8,5,2,0.2621,medical,1
52,83173,12255,36,13.09,465,6,2,2,0.1473,home_improvement,1
50,39414,4338,48,13.0,450,12,1,3,0.1101,business,1
55,42053,17691,12,11.6,410,21,4,3,0.4207,personal,1
60,41263,1750,24,18.95,787,1,5,3,0.0424,personal,1
36,57443,14769,12,12.67,848,0,5,1,0.2571,education,0
33,27555,15693,12,15.26,302,17,3,0,0.5695,home_improvement,1
62,30635,10680,12,20.22,782,6,4,4,0.3486,medical,0
50,50302,14120,48,19.73,312,17,6,4,0.2807,business,1
39,31820,10337,12,20.14,461,18,5,0,0.3249,business,1
37,33287,14192,24,9.59,643,7,2,4,0.4264,education,1
39,31955,17957,48,5.59,748,22,0,2,0.5619,education,0
48,39760,7247,24,9.44,631,11,5,1,0.1823,medical,0
46,68162,16043,60,9.74,563,10,3,4,0.2354,medical,1
57,72202,22154,12,20.46,382,26,6,1,0.3068,medical,1
46,89542,13587,48,16.04,633,29,7,0,0.1517,education,0
43,88882,8981,48,6.39,679,26,2,4,0.101,home_improvement,0
29,69153,25579,12,7.3,518,8,4,1,0.3699,education,1
32,73498,12532,36,7.65,753,27,5,2,0.1705,education,0
21,57359,13389,36,15.72,388,3,2,2,0.2334,business,1
21,64357,13514,24,17.5,632,6,7,0,0.21,medical,0
54,89984,14687,12,19.61,609,16,2,3,0.1632,personal,0
52,61681,9966,12,20.99,719,10,6,4,0.1616,medical,0
45,75758,13139,60,8.43,653,26,2,2,0.1734,home_improvement,0
60,38181,17713,36,10.27,399,1,2,2,0.4639,home_improvement,1
21,43007,9759,36,9.09,444,22,6,0,0.2269,medical,0
36,60617,9480,12,11.1,309,17,6,2,0.1564,medical,1
59,57698,10247,24,20.55,343,21,7,4,0.1776,education,1
25,43841,5413,12,14.78,685,28,6,0,0.1235,personal,0
42,98332,7902,24,17.55,794,25,2,1,0.0804,education,0
49,58106,7658,36,13.33,792,11,2,0,0.1318,business,0
23,47030,11996,60,5.49,468,8,1,4,0.2551,business,1
32,57729,17016,48,6.09,830,10,4,4,0.2948,home_improvement,0
46,55457,20722,36,14.14,635,4,0,1,0.3737,home_improvement,0
36,58380,12343,24,17.22,812,25,4,0,0.2114,personal,0
57,26313,14738,12,8.66,429,6,3,4,0.5601,home_improvement,1
